[2024-10-08T23:34:43.530+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-10-08T23:34:43.538+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: breweries_data_pipeline.data_ingestion manual__2024-10-08T23:34:40.856537+00:00 [queued]>
[2024-10-08T23:34:43.542+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: breweries_data_pipeline.data_ingestion manual__2024-10-08T23:34:40.856537+00:00 [queued]>
[2024-10-08T23:34:43.542+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2024-10-08T23:34:43.549+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): data_ingestion> on 2024-10-08 23:34:40.856537+00:00
[2024-10-08T23:34:43.554+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=218) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-10-08T23:34:43.555+0000] {standard_task_runner.py:72} INFO - Started process 220 to run task
[2024-10-08T23:34:43.555+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'breweries_data_pipeline', 'data_ingestion', 'manual__2024-10-08T23:34:40.856537+00:00', '--job-id', '102', '--raw', '--subdir', 'DAGS_FOLDER/breweries_pipeline_dag.py', '--cfg-path', '/tmp/tmp5iu3coev']
[2024-10-08T23:34:43.556+0000] {standard_task_runner.py:105} INFO - Job 102: Subtask data_ingestion
[2024-10-08T23:34:43.584+0000] {task_command.py:467} INFO - Running <TaskInstance: breweries_data_pipeline.data_ingestion manual__2024-10-08T23:34:40.856537+00:00 [running]> on host 3fbc15be3147
[2024-10-08T23:34:43.638+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='breweries_data_pipeline' AIRFLOW_CTX_TASK_ID='data_ingestion' AIRFLOW_CTX_EXECUTION_DATE='2024-10-08T23:34:40.856537+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-08T23:34:40.856537+00:00'
[2024-10-08T23:34:43.639+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-10-08T23:34:43.639+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-10-08T23:34:43.639+0000] {logging_mixin.py:190} INFO - Current task name:data_ingestion state:running start_date:2024-10-08 23:34:43.538644+00:00
[2024-10-08T23:34:43.639+0000] {logging_mixin.py:190} INFO - Dag name:breweries_data_pipeline and current dag run status:running
[2024-10-08T23:34:43.639+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-10-08T23:34:43.640+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-10-08T23:34:43.640+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', '/usr/local/bin/python3 /opt/***/scripts/data_ingestion.py']
[2024-10-08T23:34:43.682+0000] {subprocess.py:86} INFO - Output:
[2024-10-08T23:34:43.972+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:43 INFO: Starting data ingestion process.
[2024-10-08T23:34:44.106+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:44 INFO: Page 1 retrieved with 50 records.
[2024-10-08T23:34:44.513+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:44 INFO: Page 2 retrieved with 50 records.
